Campaign,Asset type,Title,Description,Final URL
GS_BR_COMPRA_VENDA_CONTRATO_202606,Sitelink,Antes Do Sinal,Recibo prazo e documentos,https://imovelexplicado.com.br/verificacao-sinal-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606&utm_content=sitelink_sinal
GS_BR_COMPRA_VENDA_CONTRATO_202606,Sitelink,Analisar Contrato,Pontos antes de assinar,https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606&utm_content=sitelink_analise
GS_BR_COMPRA_VENDA_CONTRATO_202606,Sitelink,Elaborar Contrato,Compra venda e chaves,https://imovelexplicado.com.br/contrato-compra-venda-imovel?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606&utm_content=sitelink_elaboracao
GS_BR_COMPRA_VENDA_CONTRATO_202606,Sitelink,Fazer Triagem,Envie o caso agora,https://imovelexplicado.com.br/triagem/compra-venda?utm_source=google&utm_medium=cpc&utm_campaign=gs_compra_venda_contrato_202606&utm_content=sitelink_triagem
GS_BR_COMPRA_VENDA_CONTRATO_202606,Callout,Atendimento humano,,
GS_BR_COMPRA_VENDA_CONTRATO_202606,Callout,Triagem pelo WhatsApp,,
GS_BR_COMPRA_VENDA_CONTRATO_202606,Callout,Entrega em ate 24h,,
GS_BR_COMPRA_VENDA_CONTRATO_202606,Callout,Compra venda e sinal,,
GS_BR_COMPRA_VENDA_CONTRATO_202606,Callout,Organizacao documental,,
GS_BR_COMPRA_VENDA_CONTRATO_202606,Structured snippet,Servicos,"Verificacao antes do sinal; Analise de contrato; Contrato de compra e venda; Promessa de compra e venda",
GS_BR_COMPRA_VENDA_CONTRATO_202606,Structured snippet,Pontos analisados,"Valor; Sinal; Prazo; Multa; Documentos; Chaves",
