Campaign,Negative keyword,Criterion type
GS_BR_COMPRA_VENDA_CONTRATO_202606,gratis,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,gratuito,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,modelo,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,download,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,pdf,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,word,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,doc,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,exemplo,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,simples,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,pronto,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,imprimir,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,cartorio,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,registro de imoveis,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,segunda via,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,matricula online,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,financiamento caixa,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,simulador financiamento,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,lei,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,jurisprudencia,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,tcc,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,faculdade,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,curso,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,vaga,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,emprego,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,salario,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,advogado gratuito,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,defensoria,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,procon,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,imoveis baratos,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,imóveis baratos,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,casas a venda,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,casas à venda,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,casa para comprar,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,imoveis a venda,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,imóveis à venda,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,construtora,Phrase
GS_BR_COMPRA_VENDA_CONTRATO_202606,aluguel,Phrase
