Campaign,Ad group,Asset type,Text,Pin,Final URL
GS_BR_PROPRIETARIO_ALUGUEL_SEM_IMOB_202606,proprietario_sem_imobiliaria,Headline,Alugar Sem Imobiliaria,1,https://imovelexplicado.com.br/aluguel-direto?utm_source=google&utm_medium=cpc&utm_campaign=gs_proprietario_aluguel_202606
GS_BR_PROPRIETARIO_ALUGUEL_SEM_IMOB_202606,proprietario_sem_imobiliaria,Headline,Contrato Caucao Vistoria,,https://imovelexplicado.com.br/aluguel-direto?utm_source=google&utm_medium=cpc&utm_campaign=gs_proprietario_aluguel_202606
GS_BR_PROPRIETARIO_ALUGUEL_SEM_IMOB_202606,proprietario_sem_imobiliaria,Headline,Organize Antes De Fechar,,https://imovelexplicado.com.br/aluguel-direto?utm_source=google&utm_medium=cpc&utm_campaign=gs_proprietario_aluguel_202606
GS_BR_PROPRIETARIO_ALUGUEL_SEM_IMOB_202606,proprietario_sem_imobiliaria,Headline,Evite Improviso No Aluguel,,https://imovelexplicado.com.br/aluguel-direto?utm_source=google&utm_medium=cpc&utm_campaign=gs_proprietario_aluguel_202606
GS_BR_PROPRIETARIO_ALUGUEL_SEM_IMOB_202606,proprietario_sem_imobiliaria,Headline,Imovel Explicado,,https://imovelexplicado.com.br/aluguel-direto?utm_source=google&utm_medium=cpc&utm_campaign=gs_proprietario_aluguel_202606
GS_BR_PROPRIETARIO_ALUGUEL_SEM_IMOB_202606,proprietario_sem_imobiliaria,Description,Vai alugar seu imovel direto? Organize contrato, caucao, vistoria e chaves.,,https://imovelexplicado.com.br/aluguel-direto?utm_source=google&utm_medium=cpc&utm_campaign=gs_proprietario_aluguel_202606
GS_BR_PROPRIETARIO_ALUGUEL_SEM_IMOB_202606,proprietario_sem_imobiliaria,Description,Atendimento humano para proprietarios que querem fechar com mais clareza.,,https://imovelexplicado.com.br/aluguel-direto?utm_source=google&utm_medium=cpc&utm_campaign=gs_proprietario_aluguel_202606
GS_BR_PROPRIETARIO_ALUGUEL_SEM_IMOB_202606,proprietario_sem_imobiliaria,Description,Entenda pontos de atencao antes de entregar as chaves ou receber caucao.,,https://imovelexplicado.com.br/aluguel-direto?utm_source=google&utm_medium=cpc&utm_campaign=gs_proprietario_aluguel_202606
GS_BR_CORRETOR_APOIO_DOCUMENTAL_202606,corretor_contratos,Headline,Apoio Para Corretores,1,https://imovelexplicado.com.br/corretor?utm_source=google&utm_medium=cpc&utm_campaign=gs_corretor_documental_202606
GS_BR_CORRETOR_APOIO_DOCUMENTAL_202606,corretor_contratos,Headline,Contratos Imobiliarios,,https://imovelexplicado.com.br/corretor?utm_source=google&utm_medium=cpc&utm_campaign=gs_corretor_documental_202606
GS_BR_CORRETOR_APOIO_DOCUMENTAL_202606,corretor_contratos,Headline,Menos Retrabalho,,https://imovelexplicado.com.br/corretor?utm_source=google&utm_medium=cpc&utm_campaign=gs_corretor_documental_202606
GS_BR_CORRETOR_APOIO_DOCUMENTAL_202606,corretor_contratos,Headline,Fechamento Mais Claro,,https://imovelexplicado.com.br/corretor?utm_source=google&utm_medium=cpc&utm_campaign=gs_corretor_documental_202606
GS_BR_CORRETOR_APOIO_DOCUMENTAL_202606,corretor_contratos,Headline,Suporte Documental,,https://imovelexplicado.com.br/corretor?utm_source=google&utm_medium=cpc&utm_campaign=gs_corretor_documental_202606
GS_BR_CORRETOR_APOIO_DOCUMENTAL_202606,corretor_contratos,Description,Apoio documental para corretores que precisam fechar com agilidade e clareza.,,https://imovelexplicado.com.br/corretor?utm_source=google&utm_medium=cpc&utm_campaign=gs_corretor_documental_202606
GS_BR_CORRETOR_APOIO_DOCUMENTAL_202606,corretor_contratos,Description,Organize contrato, checklist e pontos de atencao para seus atendimentos.,,https://imovelexplicado.com.br/corretor?utm_source=google&utm_medium=cpc&utm_campaign=gs_corretor_documental_202606
GS_BR_CORRETOR_APOIO_DOCUMENTAL_202606,corretor_contratos,Description,Para corretor autonomo que quer entregar uma experiencia mais profissional.,,https://imovelexplicado.com.br/corretor?utm_source=google&utm_medium=cpc&utm_campaign=gs_corretor_documental_202606

